adoc_file,line_number,excerpt,parameter_name,named,class,value_type,confidence,notes
machine.adoc,2252,"When the Zicboz extension is not implemented, `CBZE` is read-only zero",MENVCFG_CBZE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2259,"When the Zicbom extension is not implemented, `CBCFE` is read-only zero",MENVCFG_CBCFE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2262,The Zicbom extension adds the `CBIE` (Cache Block Invalidate instruction Enable) WARL field to `menvcfg`,MENVCFG_CBIE_LEGAL_VALUES,no,NORM_CSR_WARL,set,high,newly discovered
machine.adoc,2281,"If Smnpm is not implemented, `PMM` is read-only zero. The `PMM` field is read-only zero for RV32",MENVCFG_PMM_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2308,"When `menvcfg.SSE` is 0, the `henvcfg.SSE` and `senvcfg.SSE` fields are read-only zero",MENVCFG_SSE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2314,"When Ssdbltrp is not implemented `sstatus.SDT`, `vsstatus.SDT`, and `henvcfg.DTE` bits are read-only zero",MENVCFG_DTE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2336,"If Zkr or U-mode is not implemented, `USEED` is read-only zero",MSECCFG_USEED_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2342,"If Zkr or S-mode is not implemented, `SSEED` is read-only zero",MSECCFG_SSEED_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2463,"If Smmpm is not implemented, `PMM` is read-only zero. The `PMM` field is read-only zero for RV32",MSECCFG_PMM_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,3335,"Certain regions' privileges can be hardwired—for example, some regions might only ever be visible in machine mode but in no lower-privilege layers.",PMP_HARDWIRED_REGIONS,no,NORM_DIRECT,set,medium,newly discovered
machine.adoc,3340,"Implementations may implement zero, 16, or 64 PMP entries",NUM_PMP_ENTRIES,yes,NORM_DIRECT,enum,high,
machine.adoc,3342,The granularity of PMP access control settings are platform-specific,PMP_GRANULARITY,yes,NORM_DIRECT,range,high,
machine.adoc,3347,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset.",PMP_MMODE_LOCKING,no,NORM_DIRECT,binary,high,newly discovered
machine.adoc,3357,All PMP CSR fields are WARL and may be read-only zero.,PMP_CSR_FIELDS_WARL,no,NORM_CSR_RW,bitmask,high,newly discovered
machine.adoc,3386,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are WARL.",PMPADDR_WARL_MASK,no,NORM_CSR_WARL,bitmask,high,newly discovered
machine.adoc,3399,"The R, W, and X fields form a collective WARL field for which the combinations with R=0 and W=1 are reserved.",PMP_RWX_WARL_VALUES,no,NORM_CSR_WARL,set,high,newly discovered
machine.adoc,3470,"Although the PMP mechanism supports regions as small as four bytes, platforms may specify coarser PMP regions. In general, the PMP grain is 2^G+2^ bytes and must be the same across all PMP regions.",PMP_GRAIN_G,no,NORM_DIRECT,value,high,newly discovered
priv-cfi.adoc,82,"When a trap is taken into privilege mode `x`, the `__x__PELP` is set to `ELP` and `ELP` is set to `NO_LP_EXPECTED`.",REPORT_CAUSE_IN_MTVAL_ON_LANDING_PAD_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-cfi.adoc,82,"When a trap is taken into privilege mode `x`, the `__x__PELP` is set to `ELP` and `ELP` is set to `NO_LP_EXPECTED`.",REPORT_CAUSE_IN_STVAL_ON_LANDING_PAD_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-cfi.adoc,82,"When a trap is taken into privilege mode `x`, the `__x__PELP` is set to `ELP` and `ELP` is set to `NO_LP_EXPECTED`.",REPORT_CAUSE_IN_VSTVAL_ON_LANDING_PAD_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-cfi.adoc,268,"If a shadow stack (SS) instruction raises an access-fault, page-fault, or guest-page-fault exception that is supposed to indicate the original instruction type (load or store/AMO), then the reported exception cause is respectively a store/AMO access fault (code 7), a store/AMO page fault (code 15), or a store/AMO guest-page fault (code 23).",REPORT_CAUSE_IN_MTVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-cfi.adoc,268,"If a shadow stack (SS) instruction raises an access-fault, page-fault, or guest-page-fault exception that is supposed to indicate the original instruction type (load or store/AMO), then the reported exception cause is respectively a store/AMO access fault (code 7), a store/AMO page fault (code 15), or a store/AMO guest-page fault (code 23).",REPORT_CAUSE_IN_STVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-cfi.adoc,268,"If a shadow stack (SS) instruction raises an access-fault, page-fault, or guest-page-fault exception that is supposed to indicate the original instruction type (load or store/AMO), then the reported exception cause is respectively a store/AMO access fault (code 7), a store/AMO page fault (code 15), or a store/AMO guest-page fault (code 23).",REPORT_CAUSE_IN_VSTVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,yes,NORM_DIRECT,binary,medium,
priv-csrs.adoc,60,Implementations should raise illegal-instruction exceptions on machine-mode access to the latter set of registers.,DEBUG_CSR_ACCESS_CONTROL,no,NORM_DIRECT,binary,medium,newly discovered
priv-csrs.adoc,1134,"For forward compatibility, implementations that do not furnish these fields must make them read-only zero.",WPRI_FIELDS_IMPLEMENTATION,no,NORM_CSR_RW,binary,high,newly discovered
priv-csrs.adoc,1179,Implementations are permitted but not required to raise an illegal-instruction exception if an instruction attempts to write a non-supported value to a *WLRL* field.,TRAP_ON_ILLEGAL_WLRL,yes,NORM_DIRECT,binary,high,
priv-intro.adoc,134,Implementations might provide anywhere from 1 to 3 privilege modes,NUM_PRIVILEGE_MODES,no,NORM_DIRECT,range,high,newly discovered
priv-intro.adoc,185,Implementations may also include a debug mode to support off-chip debugging and/or manufacturing test.,DEBUG_MODE_IMPLEMENTED,no,NORM_DIRECT,binary,high,newly discovered
rnmi.adoc,23,The RNMI interrupt trap handler address is implementation-defined.,RNMI_TRAP_HANDLER_ADDRESS,no,NON_ISA,value,high,newly discovered
